Class Name,Class Type,Enrolled / Max (35),Time,Location,Shuttle Schedule,Day Of Week
Philosophy 101,Workshop,31/35,14:00-15:30,Library Seminar Room,Every 30 min,Monday
Computer Science I,Lecture,13/35,12:00-13:30,Main Hall A,Every 15 min,Thursday
Macroeconomics,Lab,27/35,10:00-11:30,Engineering Room B2,Every 15 min,Thursday
Music Theory,Seminar,17/35,12:00-13:30,Engineering Room B2,Every 30 min,Tuesday
Linear Algebra,Lecture,32/35,14:00-15:30,Tech Center Room 210,Every 30 min,Monday
Physics I,Seminar,26/35,14:00-15:30,Main Hall A,Every 15 min,Wednesday
Introduction to Psychology,Seminar,11/35,12:00-13:30,Business School Room 12,Every 15 min,Friday
Statistics,Seminar,25/35,15:00-16:30,Main Hall A,Every 20 min,Friday
Chemistry Lab,Workshop,20/35,10:00-11:30,Main Hall A,Every 30 min,Monday
Modern Literature,Lecture,35/35,09:00-10:30,Library Seminar Room,Every 15 min,Wednesday
Ethics and Society,Workshop,35/35,16:00-17:30,Tech Center Room 210,Every 15 min,Wednesday
Linear Algebra,Workshop,20/35,16:00-17:30,Science Building Room 101,Every 30 min,Tuesday
Linear Algebra,Lab,33/35,13:00-14:30,Arts Center Room 5,Every 20 min,Friday
Philosophy 101,Workshop,33/35,09:00-10:30,Business School Room 12,Every 30 min,Wednesday
Introduction to Psychology,Seminar,19/35,10:00-11:30,Main Hall A,Every 20 min,Friday
Introduction to Psychology,Workshop,32/35,09:00-10:30,Engineering Room B2,Every 15 min,Friday
Data Structures,Seminar,19/35,13:00-14:30,Science Building Room 101,Every 30 min,Monday
Philosophy 101,Seminar,24/35,12:00-13:30,Main Hall A,Every 30 min,Tuesday
Physics I,Lecture,29/35,10:00-11:30,Business School Room 12,Every 20 min,Friday
Environmental Science,Seminar,32/35,08:00-09:30,Engineering Room B2,Every 20 min,Thursday
Political Science,Workshop,27/35,10:00-11:30,Engineering Room B2,Every 30 min,Tuesday
Creative Writing,Workshop,18/35,13:00-14:30,Main Hall A,Every 15 min,Monday
Art History,Workshop,22/35,10:00-11:30,Engineering Room B2,Every 15 min,Thursday
Linear Algebra,Workshop,12/35,14:00-15:30,Library Seminar Room,Every 15 min,Tuesday
Introduction to Psychology,Seminar,11/35,13:00-14:30,Library Seminar Room,Every 15 min,Wednesday
Statistics,Workshop,23/35,10:00-11:30,Business School Room 12,Every 30 min,Monday
Music Theory,Lab,30/35,13:00-14:30,Main Hall A,Every 15 min,Friday
Political Science,Seminar,19/35,12:00-13:30,Engineering Room B2,Every 20 min,Thursday
Creative Writing,Workshop,32/35,13:00-14:30,Science Building Room 101,Every 15 min,Thursday
Art History,Lecture,22/35,08:00-09:30,Engineering Room B2,Every 15 min,Monday
Art History,Seminar,13/35,16:00-17:30,Engineering Room B2,Every 15 min,Friday
Music Theory,Workshop,10/35,14:00-15:30,Science Building Room 101,Every 15 min,Tuesday
Ethics and Society,Lecture,31/35,11:00-12:30,Arts Center Room 5,Every 15 min,Thursday
Physics I,Lecture,34/35,14:00-15:30,Tech Center Room 210,Every 15 min,Tuesday
Creative Writing,Lab,16/35,12:00-13:30,Arts Center Room 5,Every 15 min,Friday
Music Theory,Workshop,18/35,16:00-17:30,Science Building Room 101,Every 15 min,Monday
Biology 101,Lecture,30/35,14:00-15:30,Tech Center Room 210,Every 15 min,Thursday
Biology 101,Lab,16/35,08:00-09:30,Science Building Room 101,Every 20 min,Monday
Philosophy 101,Seminar,34/35,09:00-10:30,Business School Room 12,Every 15 min,Wednesday
Political Science,Seminar,33/35,13:00-14:30,Business School Room 12,Every 15 min,Wednesday
Computer Science I,Lecture,33/35,10:00-11:30,Arts Center Room 5,Every 30 min,Wednesday
Linear Algebra,Seminar,11/35,10:00-11:30,Engineering Room B2,Every 30 min,Monday
Art History,Lab,35/35,08:00-09:30,Engineering Room B2,Every 15 min,Wednesday
Political Science,Workshop,15/35,16:00-17:30,Engineering Room B2,Every 30 min,Wednesday
Data Structures,Lecture,16/35,08:00-09:30,Main Hall A,Every 20 min,Wednesday
Ethics and Society,Workshop,12/35,11:00-12:30,Library Seminar Room,Every 20 min,Tuesday
Macroeconomics,Workshop,28/35,12:00-13:30,Engineering Room B2,Every 20 min,Monday
Introduction to Psychology,Seminar,11/35,11:00-12:30,Library Seminar Room,Every 30 min,Wednesday
Political Science,Lecture,18/35,12:00-13:30,Main Hall A,Every 30 min,Friday
Calculus I,Workshop,18/35,14:00-15:30,Main Hall A,Every 30 min,Tuesday
Ethics and Society,Workshop,32/35,14:00-15:30,Library Seminar Room,Every 30 min,Tuesday
Chemistry Lab,Seminar,17/35,13:00-14:30,Main Hall A,Every 15 min,Friday
Chemistry Lab,Workshop,10/35,11:00-12:30,Arts Center Room 5,Every 30 min,Friday
Computer Science I,Seminar,33/35,09:00-10:30,Arts Center Room 5,Every 30 min,Thursday
Biology 101,Workshop,25/35,10:00-11:30,Main Hall A,Every 30 min,Friday
Chemistry Lab,Seminar,23/35,13:00-14:30,Engineering Room B2,Every 15 min,Thursday
Physics I,Lab,16/35,12:00-13:30,Library Seminar Room,Every 20 min,Friday
Environmental Science,Lecture,24/35,12:00-13:30,Tech Center Room 210,Every 20 min,Thursday
Modern Literature,Workshop,21/35,14:00-15:30,Science Building Room 101,Every 20 min,Friday
Linear Algebra,Lecture,18/35,15:00-16:30,Arts Center Room 5,Every 20 min,Tuesday
Physics I,Lab,23/35,08:00-09:30,Main Hall A,Every 30 min,Wednesday
Environmental Science,Workshop,16/35,11:00-12:30,Main Hall A,Every 30 min,Tuesday
Physics I,Seminar,15/35,16:00-17:30,Tech Center Room 210,Every 20 min,Friday
Music Theory,Lab,34/35,13:00-14:30,Tech Center Room 210,Every 30 min,Friday
Data Structures,Seminar,15/35,12:00-13:30,Engineering Room B2,Every 20 min,Friday
Macroeconomics,Seminar,32/35,15:00-16:30,Library Seminar Room,Every 20 min,Monday
Linear Algebra,Lab,23/35,08:00-09:30,Business School Room 12,Every 15 min,Wednesday
Political Science,Workshop,19/35,11:00-12:30,Main Hall A,Every 30 min,Wednesday
Creative Writing,Lab,13/35,11:00-12:30,Engineering Room B2,Every 30 min,Friday
Biology 101,Seminar,21/35,12:00-13:30,Library Seminar Room,Every 20 min,Thursday
Environmental Science,Lecture,31/35,08:00-09:30,Engineering Room B2,Every 20 min,Friday
Modern Literature,Seminar,33/35,11:00-12:30,Tech Center Room 210,Every 15 min,Thursday
Macroeconomics,Lecture,18/35,09:00-10:30,Tech Center Room 210,Every 15 min,Tuesday
Political Science,Seminar,19/35,09:00-10:30,Business School Room 12,Every 30 min,Wednesday
Chemistry Lab,Lecture,23/35,11:00-12:30,Main Hall A,Every 30 min,Monday
Art History,Workshop,13/35,11:00-12:30,Tech Center Room 210,Every 15 min,Friday
Macroeconomics,Seminar,14/35,11:00-12:30,Engineering Room B2,Every 20 min,Thursday
Modern Literature,Lab,34/35,11:00-12:30,Engineering Room B2,Every 20 min,Tuesday
World History,Workshop,34/35,14:00-15:30,Library Seminar Room,Every 30 min,Thursday
Political Science,Lecture,22/35,15:00-16:30,Library Seminar Room,Every 15 min,Friday
Linear Algebra,Workshop,26/35,13:00-14:30,Engineering Room B2,Every 30 min,Friday
Introduction to Psychology,Workshop,20/35,08:00-09:30,Main Hall A,Every 15 min,Friday
Statistics,Lecture,11/35,08:00-09:30,Business School Room 12,Every 20 min,Thursday
Data Structures,Lecture,18/35,16:00-17:30,Tech Center Room 210,Every 15 min,Thursday
Political Science,Workshop,20/35,15:00-16:30,Main Hall A,Every 30 min,Wednesday
Chemistry Lab,Seminar,28/35,16:00-17:30,Arts Center Room 5,Every 20 min,Friday
Political Science,Lab,16/35,12:00-13:30,Engineering Room B2,Every 20 min,Friday
Computer Science I,Lecture,30/35,16:00-17:30,Business School Room 12,Every 20 min,Thursday
Physics I,Lecture,29/35,12:00-13:30,Tech Center Room 210,Every 20 min,Monday
Computer Science I,Lab,28/35,08:00-09:30,Library Seminar Room,Every 30 min,Thursday
Philosophy 101,Lecture,10/35,16:00-17:30,Main Hall A,Every 20 min,Thursday
Microbiology,Workshop,24/35,13:00-14:30,Tech Center Room 210,Every 30 min,Monday
Environmental Science,Lab,26/35,09:00-10:30,Arts Center Room 5,Every 20 min,Thursday
Computer Science I,Workshop,35/35,08:00-09:30,Business School Room 12,Every 20 min,Tuesday
Microbiology,Workshop,22/35,09:00-10:30,Main Hall A,Every 20 min,Monday
Physics I,Seminar,35/35,14:00-15:30,Arts Center Room 5,Every 15 min,Friday
Statistics,Workshop,25/35,14:00-15:30,Business School Room 12,Every 20 min,Tuesday
Linear Algebra,Lecture,31/35,15:00-16:30,Arts Center Room 5,Every 15 min,Friday
Physics I,Seminar,10/35,15:00-16:30,Engineering Room B2,Every 20 min,Monday
Data Structures,Seminar,20/35,08:00-09:30,Main Hall A,Every 15 min,Monday
Music Theory,Seminar,12/35,10:00-11:30,Tech Center Room 210,Every 20 min,Wednesday
Physics I,Workshop,19/35,14:00-15:30,Science Building Room 101,Every 30 min,Tuesday
Political Science,Lecture,23/35,09:00-10:30,Library Seminar Room,Every 30 min,Wednesday
Music Theory,Workshop,32/35,16:00-17:30,Arts Center Room 5,Every 15 min,Thursday
Statistics,Workshop,26/35,12:00-13:30,Arts Center Room 5,Every 30 min,Friday
Ethics and Society,Lab,30/35,14:00-15:30,Tech Center Room 210,Every 30 min,Thursday
Statistics,Lecture,12/35,11:00-12:30,Tech Center Room 210,Every 30 min,Thursday
Computer Science I,Lecture,32/35,12:00-13:30,Tech Center Room 210,Every 30 min,Monday
Creative Writing,Workshop,28/35,10:00-11:30,Main Hall A,Every 30 min,Friday
Political Science,Lecture,13/35,12:00-13:30,Engineering Room B2,Every 20 min,Tuesday
Political Science,Seminar,13/35,13:00-14:30,Engineering Room B2,Every 20 min,Monday
Computer Science I,Seminar,32/35,08:00-09:30,Engineering Room B2,Every 30 min,Wednesday
Music Theory,Workshop,24/35,13:00-14:30,Arts Center Room 5,Every 15 min,Tuesday
Biology 101,Workshop,30/35,16:00-17:30,Main Hall A,Every 30 min,Tuesday
Calculus I,Workshop,30/35,15:00-16:30,Arts Center Room 5,Every 15 min,Monday
Modern Literature,Seminar,14/35,12:00-13:30,Main Hall A,Every 15 min,Thursday
Chemistry Lab,Lecture,16/35,09:00-10:30,Science Building Room 101,Every 30 min,Friday
Art History,Lecture,32/35,08:00-09:30,Engineering Room B2,Every 30 min,Monday
Creative Writing,Seminar,34/35,16:00-17:30,Engineering Room B2,Every 20 min,Tuesday
Physics I,Lab,29/35,11:00-12:30,Main Hall A,Every 20 min,Tuesday
Physics I,Lab,22/35,12:00-13:30,Arts Center Room 5,Every 30 min,Tuesday
Environmental Science,Lab,21/35,12:00-13:30,Business School Room 12,Every 15 min,Thursday
Creative Writing,Lab,16/35,08:00-09:30,Business School Room 12,Every 20 min,Tuesday
